0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0
0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0
5,5,5,5,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,5,5
5,5,5,5,0,0,0,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,5,5
5,5,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,4,4
5,5,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0
4,4,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,3,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,3,0,0,0
7,7,0,0,0,3,0,0,4,0,0,0,4,0,0,0,3,3,3,0,0,0,0,0,0,0
7,7,0,0,0,3,0,0,4,0,0,0,4,0,0,0,3,3,3,0,0,0,0,0,0,0
0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,7,7,7,7
0,0,0,0,3,3,0,0,3,3,3,3,0,0,0,0,3,3,3,0,0,0,7,7,7,7
0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0
0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0
0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0
0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0
0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0
0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0
0,0,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3,3,3,0,0,5,5
0,0,3,3,3,3,3,3,0,0,3,3,3,3,0,0,3,3,3,3,3,3,0,0,0,5
5,5,0,0,3,3,3,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,5,5,5,5
5,5,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,5,5,5,5
4,4,5,5,0,0,0,0,0,0,0,3,8,8,3,0,0,0,0,0,5,5,5,5,4,4
4,4,5,5,0,0,0,0,0,0,0,3,8,8,3,0,0,0,0,0,5,5,5,0,4,4
